AC#,Artist,Title,Date,Medium,Dimensions,Category,,,,,
100061-02,"ARTIST UNKNOWN,","Dining Suite, Sheraton reproduction [sideboard]",n.d.,furniture,"179 x 62.5 x 93.5 cm / 70 1/2"" x 24 1/2"" x 36 3/4"" (L x W x H)",furnishings,,,,,
100061-03,"ARTIST UNKNOWN,","Dining Suite, Sheraton reproduction [side chair 1 of 8]",n.d.,furniture,"88.9 x 50.8 x 45.1 cm / 35"" x 20"" x 17 3/4"" (H x W x D)",furnishings,,,,,
100061-04,"ARTIST UNKNOWN,","Dining Suite, Sheraton reproduction [side chair 2 of 8]",n.d.,furniture,"88.9 x 50.8 x 45.1 cm / 35"" x 20"" x 17 3/4"" (H x W x D)",furnishings,,,,,
100061-05,"ARTIST UNKNOWN,","Dining Suite, Sheraton reproduction [side chair 3 of 8]",n.d.,furniture,"88.9 x 50.8 x 45.1 cm / 35"" x 20"" x 17 3/4"" (H x W x D)",furnishings,,,,,
100061-06,"ARTIST UNKNOWN,","Dining Suite, Sheraton reproduction [side chair 4 of 8]",n.d.,furniture,"88.9 x 50.8 x 45.1 cm / 35"" x 20"" x 17 3/4"" (H x W x D)",furnishings,,,,,
100061-07,"ARTIST UNKNOWN,","Dining Suite, Sheraton reproduction [side chair 5 of 8]",n.d.,furniture,"88.9 x 50.8 x 45.1 cm / 35"" x 20"" x 17 3/4"" (H x W x D)",furnishings,,,,,
100061-08,"ARTIST UNKNOWN,","Dining Suite, Sheraton reproduction [side chair 6 of 8]",n.d.,furniture,"88.9 x 50.8 x 45.1 cm / 35"" x 20"" x 17 3/4"" (H x W x D)",furnishings,,,,,
100061-09,"ARTIST UNKNOWN,","Dining Suite, Sheraton reproduction [side chair 7 of 8]",n.d.,furniture,"88.9 x 50.8 x 45.1 cm / 35"" x 20"" x 17 3/4"" (H x W x D)",furnishings,,,,,
100061-10,"ARTIST UNKNOWN,","Dining Suite, Sheraton reproduction [side chair 8 of 8]",n.d.,furniture,"88.9 x 50.8 x 45.1 cm / 35"" x 20"" x 17 3/4"" (H x W x D)",furnishings,,,,,
100061-11,"ARTIST UNKNOWN,","Dining Suite, Sheraton reproduction [arm chair 1 of 10]",n.d.,furniture,"85.7 x 60.3 x 59.7 cm / 33 3/4"" x 23 3/4"" x 23 1/2"" (H x W x D)",furnishings,,,,,
100061-12,"ARTIST UNKNOWN,","Dining Suite, Sheraton reproduction [arm chair 2 of 10]",n.d.,furniture,"85.7 x 60.3 x 59.7 cm / 33 3/4"" x 23 3/4"" x 23 1/2"" (H x W x D)",furnishings,,,,,
100061-13,"ARTIST UNKNOWN,","Dining Suite, Sheraton reproduction [arm chair 3 of 10]",n.d.,furniture,"85.7 x 60.3 x 59.7 cm / 33 3/4"" x 23 3/4"" x 23 1/2"" (H x W x D)",furnishings,,,,,
100061-14,"ARTIST UNKNOWN,","Dining Suite, Sheraton reproduction [arm chair 4 of 10]",n.d.,furniture,"85.7 x 60.3 x 59.7 cm / 33 3/4"" x 23 3/4"" x 23 1/2"" (H x W x D)",furnishings,,,,,
100061-15,"ARTIST UNKNOWN,","Dining Suite, Sheraton reproduction [arm chair 5 of 10]",n.d.,furniture,"85.7 x 60.3 x 59.7 cm / 33 3/4"" x 23 3/4"" x 23 1/2"" (H x W x D)",furnishings,,,,,
